Timestamp,study,Journal,Study #,Start Date,End Date,Country,Region,Study Design,Setting,Sample,Is this a special population?,Age,Age (measure),Female patients (n),Disease Severity,ARDS (n),Mechanical Ventilation (n),ICU (n),Smokers (n),COPD (n),Cardiovascular disease (n),Diabetes (n),Testing,Method,Provide detail about testing methods - can cut and paste from text,clinical_def,body_site,patients,Type,coinfection,secondary_infection,Were bacteria names specified?,Mycoplasm,Chlamydia,S aureus,S pneumo,Enterococcus faecium species?,Haemophilus species?,Pseudomonas,Klebsiella,E. coli,Acinetobacter,Enterobacter,Enterococcus spp,CNST,Citrobacter,Moraxella ,Stenotrophomonas,Serratia,Strep non-pna,Legionella,Proteus spp.,Other GN,Other GP,Other not reported,Other bacteria and their numbers?,corticosteroids,il_6_inhibitors,abx,Critical Appraisal 1: Was the studys target population a close representation of the national population in relation to relevant variables?,Critical Appraisal 2: Was the sampling frame a true or close representation of the target population?,"Critical Appraisal 3: Was some form of random selection used to select the sample, OR was a census undertaken?",Critical Appraisal 4: Was the likelihood of nonresponse bias minimal?,Critical Appraisal 5: Were data collected directly from the subjects (as opposed to a proxy)?,Critical Appraisal 6: Was an acceptable case definition used in the study?,Critical Appraisal 7: Was the study instrument that measured the parameter of interest shown to have validity and reliability?,Critical Appraisal 8: Was the same mode of data collection used for all subjects?,Critical Appraisal 9: Was the length of the shortest prevalence period for the parameter of interest appropriate?,Critical Appraisal 10: Were the numerator(s) and denominator(s) for the parameter of interest appropriate?,quality score,bias,Do all patients included have laboratory-confirmed SARS-CoV-2 infection? (If not - study should be excluded),Measured both CoI and Secondary?,Number of Other immunomodulators?
02/06/2021 14:09,"Della-Torre E, 2020",Annals of Rheumatologic Disease,19043,14/03/2020,02/04/2020,Italy,Europe,Prospective Cohort,Hospital,56,,56,Median,12,Severe,,13,,15,3,8,12,unspecified,unspecified,,N,Blood,56,Secondary Infection,,11,No,,,,,,,,,,,,,,,,,,,,,,,,,,28,56,Yes,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,No or unclear,5,moderate,Yes,,"Sarilumab, 28 patients - included in toci"
21/05/2021 15:26,"Zhang Y, 2020",Frontiers in Medicine,19055,01/01/2020,18/03/2020,China,Asia,Retrospective Cohort,Hospital,365,,46.8,Mean/Average,189,Mild-Moderate,0,0,0,7,,6,17,unspecified,unspecified,"""bacterial co-infection""",N,Unclear,365,Co-infection,228,,No,,,,,,,,,,,,,,,,,,,,,,,,,131,,251,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
08/06/2021 19:00,"D'Onofrio V, 2020",European Journal of Clinical Microbiology & Infectious Diseases,19101,12/02/2020,12/04/2020,Belgium,Europe,Retrospective Cohort,Hospital,110,Suspected sepsis,73,Median,41,All combined,,,29,,19,28,27,specified,"blood cultures, urine antigen for S pneumoniae and Legionella","In patients with a clinical suspicion based on history, laboratory and/or chest X-ray results, and a negative initial PCR test, a second nasopharyngeal swab or, if possible, a lower respiratory tract sample such as sputum, bronchial aspirates or broncho-alveolar lavage fluid, were collected after 2448 h [17]. For all suspected pneumonia patients with chest X-ray abnormalities, urinary antigen tests for Streptococcus pneumoniae and Legionella pneumophila were performed",Y,Respiratory and Blood,110,Co-infection,3,,Yes,0,0,0,0,0,0,0,0,0,,,,1,,,,,1,,,,1,,"blood: S. hominis x 1, Corynebacterium aurimucosum x 1, lung: S. pyogenes x 1 (n = 110; all patients enrolled tested)
pulmonary: S pyogenes x 1
(there were no urinary antigens that were positive for Legionella or S pneumoniae (n = 59 tested)",,,93,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,9,low,Yes,,
23/05/2021 2:47,"Cheng L, 2020",Therapeutic Advances in Infectious Disease,19267,08/01/2020,01/05/2020,Hong Kong,Asia,Retrospective Cohort,Hospital,147,,36,Median,62,All combined,,,3,,,,,specified,"culture, urinary antigen for legionella and S pneumo","The following tests were included in the investigation panel for other respiratory infections: blood
samples for bacterial culture, sputum for bacterial
culture, urine antigen test for Legionella pneumophila and Streptococcus pneumoniae, and multiplex
PCR assay (BioFire FilmArray respiratory panel
and Pneumonia Panel) for simultaneous detection
of respiratory viral and bacterial pathogens, depending on the specimen type. Sputum was not processed for culture in samples in which the number
of squamous epithelial cells were >10 cells per lowpower field unless the white blood cell (WBC)
count was ?25 cells per low-power field.",Y,Respiratory and Blood,147,Secondary Infection,4,8,Yes,0,0,8,1,0,3,1,0,0,,,,,,,,,,,,,,,,,,52,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,8,low,Yes,Y= CoI=4,"interferon beta, n = 71"
11/06/2021 2:23,"Yu D, 2020",PLOS ONE,19337,01/03/2020,30/04/2020,Sweden,Europe,Retrospective Cohort,Hospital,2240,Blood cultures were taken for these COVID patients,64,Mean/Average,790,no baseline info available about patients,,,,,,,,specified,culture,"Three different blood culture bottles were used in the study; BacT/Alert
FA Plus aerobic, BacT/ALERT-PF Plus pediatric and BacT/Alert FN Plus anaerobic plus bottles. Bottles were incubated in BacT/ALERT Virtuo (bioMe´rieux, Durham, NC, USA) blood
culture system until they signaled positive or for a maximum of five days.
The Gram stains were done directly from positive blood culture bottles. According to the
result from the staining, specimen from the positive bottles were subcultured onto relevant
agar plates. The microorganisms grown on the agar plates were identified by Bruker MALDI--
TOF MS. Antimicrobial susceptibility testing was performed by disc diffusion and the results
were interpreted following EUCAST recommendations (www.eucast.org)",N,Blood,2240,Not-specified,195,,Yes,,,44,3,5,0,7,13,34,,5,23,49,1,,1,1,27,,2,4,4,,"n = 197 clinically releavant BSI/3027 episodes where blood was cultured, Acitontignum=1, Aerococcus urinae=1, Bacteroides=3, Streptococcus (non pneumoniae)=27, bifido=1, C freundii=1, Clostridium (non diff) 2, Enterobacter =5, Enterococcus spp=23, granulicatella=1, Proteus spp=2, Providenceia=1, Serratia=1, Steno=1, CNST=48, S lug=1",,,,No or unclear,No or unclear,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,3,high,Yes,,
07/06/2021 11:25,"Yi H, 2020",Journal of Diabetes,19357,01/01/2020,29/02/2020,China,Asia,Retrospective Cohort,Hospital,54,Diabetes,63,Median,21,All combined,7,8,8,,0,8,54,unspecified,unspecified,,N,Unclear,54,Not-specified,5,,No,,,,,,,,,,,,,,,,,,,,,,,,,17,,37,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,
08/05/2021 14:36,"Mady A, 2020",Annals of Medicine and Surgery,19427,12/08/2020,12/09/2020,Saudi Arabia,Middle East,Case Series of equal or more than 50 patients,Hospital ICU,61,,51,Median,7,Severe,,29,61,37,,,24,specified,culture or PCR,"Ventilator Associated Pneumonia (VAP; defined as respiratory culture positive or respiratory PCR plus compatible clinical, and radiological findings), blood
stream infection (BSI; one or more positive blood cultures associated
with systemic signs of infection such as fevers, chills, and/or hypotension).",Y,Respiratory and Blood,61,Secondary Infection,,11,Yes,0,0,1,0,2,0,3,0,0,4,,,,,,,,,,,,,2,"Acinetobacter baumannii = 3 cases of VAP & 1 blood stream infection; for 2 BSIs, pathogen # were not specified.",61,61,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
10/05/2021 7:47,"Pongpirul W, 2020",PLoS Negl Trop Dis,19486,08/01/2020,16/04/2020,Thailand,Asia,Retrospective Cohort,Hospital,193,,37,Median,80,All combined,6,5,32,29,3,,16,specified,culture,"Among 38 patients who progressed to have pneumonia after admission, diagnostic work up to rule out hospital-acquired pneumonia was performed. Only one patient had Hemophilus parainfluenzae detected from sputum culture which was considered as co-infection.",N,Respiratory,193,Co-infection,1,0,Yes,,,,,,1,,,,,,,,,,,,,,,,,,Hemophilus parainfluenzae = 1 resp,2,3,27,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,7,moderate,Yes,Y=Secondary infection =0,
25/05/2021 18:17,"Zeng QL, 2020",Transbound Emerg Dis,20002,20/01/2020,08/02/2020,China,Asia,Retrospective Cohort,Hospital,149,,42,Median,58,All combined,4,11,27,4,5,8,11,unspecified,unspecified,,N,Unclear,149,Co-infection,11,,No,1,,,,,,,,,,,,,,,,,,,,,,,,25,,0,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,Mentioned immunoglobulins for 26 patients
26/05/2021 22:41,"Cattlelan AM, 2020",BMC Infectious Diseases,20061,22/02/2020,20/05/2020,Italy,Europe,Retrospective Cohort,Hospital,303,,62,Median,121,Mild-Moderate,,30,33,,26,44,71,specified,culture,"Laboratory tests to exclude the presence of bacterial infections (blood and urine cultures, pneumococcal and legionella urinary antigen tests, Chlamydia pneumoniae and Mycoplasma pneumoniae serology) were also performed at admission and during the hospitalization in case of a clinical suspicion of superinfections.",N,Blood,303,Secondary Infection,,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,18,163,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,9,low,Yes,,
08/06/2021 0:30,"Kimmig L, 2020",Frontiers in Medicine,20074,01/03/2020,27/04/2020,United States,North America,Retrospective Cohort,Hospital ICU,111,,63.1,Mean/Average,49,Critical,,,111,48,24,9,45,specified,culture,"Due to well-known limitations with bacterial cultures in hospitalized and critically ill patients, we included both culture proven and suspected bacterial infections in our analysis.",Y,Respiratory,111,Secondary Infection,,27,No,,,,,,,,,,,,,,,,,,,,,,,,,21,54,,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,"""immunosuppressive agents"", n = 8"
09/06/2021 1:14,"Luyt CE, 2020",Ann. Intensive Care,20136,12/03/2020,24/04/2020,France,Europe,Retrospective Cohort,Hospital ICU,50,ICU Patients receiving Extracorporeal membrane oxygenation; reports both initial co-infection and also then also the ventilator associated and hospital acquired infections.,48,Median,14,ICU requiring Extracorporeal membrane oxygenation,50,50,50,,,,,specified,culture,"BAL fuid (BALF) was sent to the bacteriology laboratory for direct microscopic examination with Gram staining, quantitative microbiologic culture, and susceptibility testing of retrieved pathogens. Empirical antimicrobial treatment was started according to the recent French and international guidelines [",Y,Respiratory,50,Secondary Infection,9,43,Yes,,,3,,3,,16,11,,,,3,,,,2,1,3,,,2,,,"Enterobacter cloacae =3, Hafnia alvei =2, Serratia marcescens =1, ESBL-producing Enterobacteriaceae =2, Stenotrophomonas maltophilia 2, Streptococcus spp =3",,2,50,No or unclear,No or unclear,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,7,moderate,Yes,CoI=9,"1 = sarilumab - included in toci, 1 = anakinra"
26/05/2021 23:29,"Tran VT, 2021",Clinical Microbiology Infection,20158,01/03/2020,01/05/2020,France and Luxembourg,Europe,Retrospective Cohort,Hospital,891,,63,Median,299,All combined,,0,0,,,,208,unspecified,unspecified,,N,Unclear,891,Secondary Infection,,71,No,,,,,,,,,,,,,,,,,,,,,,,,,194,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
07/06/2021 15:52,"Cheng K, 2020",Risk Management and Healthcare Policy,20160,10/01/2020,09/03/2020,China,Asia,Retrospective Cohort,Hospital,212,,53.1,Mean/Average,104,All combined,,19,,,,,,unspecified,unspecified,,N,Respiratory and Blood,212,Secondary Infection,,20,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,4,high,Yes,,
26/05/2021 19:17,"Tomazini BM, 2020",JAMA,20188,17/04/2020,23/06/2020,Brazil,South and Central America,Randomized Controlled Trial,Hospital ICU,299,,61,mean,112,Severe,299,221,299,13,,198,126,unspecified,unspecified,,N,Respiratory and Blood,299,Secondary Infection,,74,No,,,,,,,,,,,,,,,,,,,,,,,,,151,0,261,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,
17/06/2021 15:02,"Cataldo MA, 2020",Journal of Global Antimicrobial Resistance,20281,01/03/2020,15/04/2020,Italy,Europe,Retrospective Cohort,Hospital ICU,57,,62,Mean/Average,16,Critical,,48,57,,,,,specified,culture,"""isolated from blood cultures""",N,Blood,69,Not-specified,23,,Yes,,,,,6,,8,3,1,,1,10,,,,1,,,,,,,,"E faecalis=3, Enterobacter=1, Steno=1, Enterococcus cassel/gal=1",42,26,,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,Yes,7,moderate,Yes,,"-toci column refers to ""interleukin 6 blockers"""
15/06/2021 13:38,"Alharthy A, 2020",Journal of epidemiology and global health,20402,20/03/2020,31/05/2020,Saudi Arabia,Middle East,Retrospective Cohort,Hospital ICU,352,,50.63,Mean/Average,45,Critical,,200,352,174,,,97,specified,culture,"""bacterial culture results""",Y,Respiratory and Blood,352,Secondary Infection,,25,No,,,,,,,,,,,,,,,,,,,,,,,,"Text only stated MRSA and Acinetobacter baumannii were ""the most common"" but did not provide number of each bacteria. 15 patients had VAP and 10 had CLI.",,,,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,7,moderate,Yes,,
07/06/2021 17:33,"Cordeanu E, 2020",Journal of Clinical Medicine,20410,25/02/2020,01/04/2020,France,Europe,Retrospective Cohort,Hospital,772,,68,Median,328,All combined,,220,,155,91,124,219,unspecified,unspecified,,N,Respiratory,747,Secondary Infection,,60,No,,,,,,,,,,,,,,,,,,,,,,,,,,,634,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
23/05/2021 21:23,"Cates J, 2020",Morbidity and Mortality Weekly Report (MMWR),20451,01/03/2020,31/05/2020,United States,North America,Retrospective Cohort,Hospital,3948,,70,Median,238,All combined,369,,1421,,1437,1909,1873,unspecified,unspecified,,N,Blood,3948,Not-specified,186,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,5,moderate,Yes,,
07/05/2021 16:16,"Pereira MR, 2020",Am. J. Transplant,20551,13/03/2020,21/04/2020,United States,North America,Retrospective Cohort,Hospital,117,Transplant,63,Median,42,All combined,,34,36,,27,,68,specified,culture,"Only culture positive bacterial infections were included. In this study, pneumonia, including those that were ventilator associated, was defined as a positive respiratory culture and clinical suspicion for a bacterial pneumonia by the primary team. All positive blood cultures, except those with coagulase-negative
staphylococci, were considered to be true infections.",Y,Respiratory and Blood,117,Secondary Infection,,11,Yes,0,0,2,0,0,0,2,2,0,,,,,,,1,,2,,,2,,,"Strep agalactiae=2, Steno=1, E cloacae=1, salmonella=1, Burkho=1",71,29,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,8,low,Yes,,SOT population - all were on immunosuppressants at baseline
17/06/2021 15:22,"Feng G, 2020",Switzerland Springer Nature,20567,01/02/2020,01/03/2020,China,Asia,Retrospective Cohort,Hospital,134,,45,Median,69,All combined,5,8,129,49,,,12,unspecified,unspecified,VAP,Y,Respiratory,134,Secondary Infection,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,3,,34,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,Ig 16
12/06/2021 11:15,"Feng Z, 2020",Nature Communications,20851,17/01/2020,15/02/2020,China,Asia,Retrospective Cohort,Hospital,141,,44,Median,69,Moderate,,6,4,7,4,3,8,specified,culture,"Bacterial coinfection was diagnosed when patients showed clinical symptoms, signs, or radiological evidence of nosocomial pneumonia or bacteremia and a positive bacterial culture test was obtained from lower respiratory tract specimens or blood samples after admission",Y,Respiratory and Blood,141,Co-infection,17,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,8,low,Yes,,
27/05/2021 23:36,"Price C, 2020",Chest Journal,20859,10/03/2020,21/04/2020,United States,North America,Retrospective Cohort,Hospital,239,,64,Median,113,Severe,,53,,,91,71,91,unspecified,unspecified,,N,Blood,239,Secondary Infection,,4,No,,,,,,,,,,,,,,,,,,,,,,,,,48,153,,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,No or unclear,Yes,Yes,8,low,Yes,,
12/06/2021 10:16,"He F, 2020",Canadian Journal of Infectious Diseases and Medical Microbiology,20870,17/01/2020,01/04/2020,China,Asia,Retrospective Cohort,Hospital,95,,60,Median,42,All combined,16,17,18,,,,8,unspecified,unspecified,"""secondary bacterial pneumonia"" ""Most patients were examined for respiratory pathogens,
including Mycoplasma pneumoniae, Chlamydia pneumoniae, influenza A and B, parainfluenza, avian influenza,
respiratory syncytial virus, and adenovirus, 2 of whom were
complicated with influenza virus infection, while the rest
were not infected with other viruses""",N,Respiratory,95,Secondary Infection,,14,No,,,,,,,,,,,,,,,,,,,,,,,,,32,,72,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,Yes,Yes,5,moderate,Yes,,"10 gamma globulin, 9 immunoglobulin"
22/05/2021 19:54,"Zhou S, 2020",Shock,20978,05/01/2020,03/04/2020,China,Asia,Retrospective Cohort,Hospital ICU,195,Critically ill,66,Median,65,Critical,162,181,195,,,,55,unspecified,unspecified,,N,Respiratory and Blood,195,Secondary Infection,,47,Yes,0,0,0,0,0,1,0,2,1,19,,4,,,,,,,,,,1,,"Acinetobacter baumanii 19, E faecalis 4, Corynebacterium 1, Candida albicans 6 (I subtracted 6 from number of infections, not UTI, from total nosocomial infections). I cannot tell which of these bacterial isolates are from urine.",139,,,No or unclear,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,Yes,No or unclear,4,high,Yes,,0
22/05/2021 21:53,Rothe K 2020,European Journal of Clinical Microbiology & Infectious Diseases,21024,16/02/2020,22/04/2020,Germany,Europe,Retrospective Cohort,Hospital,140,,63.5,Median,50,Moderate - Severe,,41,47,,7,26,30,specified,culture,"Urine samples were used for lateral flow antigen test detection of Legionella pneumophila serogroup 1 and Streptococcus pneumoniae 
.For microbiological workup, blood was inoculated into
aerobic and anaerobic BC media (BACTEC Plus, Becton
Dickinson, Sparks, MD, USA) via an automated BC system
(BACTEC Fluorescent Series, Becton Dickinson). Culture
bottles were incubated for 57 days according to the manufacturers recommendations. Considering the difficulty in determining the clinical significance of coagulase-negative
staphylococci (CoNS) in BC, these isolates were reviewed
separately based on the number of positive culture sets, the
presence of intravascular devices, and patients characteristics.
Isolates were considered clinically significant (true
bacteraemia) if two or more bottles yielded the same CoNS.
Primary microbiological cultures of respiratory samples
were performed on Columbia agar, Schaedler agar, and
Chocolate agar (prepared culture media, Becton Dickinson,
Sparks, MD, USA). Gram stain identification, species identification (Matrix Assisted Laser Desorption Ionisation-Time of
Flight Mass Spectrometry, Bruker Daltronics, Leipzig,
Germany), and automated antimicrobial susceptibility testing
(VITEK, bioMerieux, Marcy lEtoile, France) were performed for all relevant pathogens. Anaerobic strains were tested using minimal inhibitory concentration (MIC) test strips
(Liofilchem Inc., Waltham, MA, USA).
German national standards were used to define multidrugresistant gram-negative bacteria [28]. This national classification defines four antibiotic classes with clinical relevance for
treatment of gram-negative infections: carbapenems, quinolones, third-and-fourth-generation cephalosporins and
ureidopenicillins. Multi-resistance of gram-negative pathogens is classified as resistance to three of these classes
(3MRGN); extensive resistance is defined as resistance to all
of these classes or detection of carbapenemase (4MRGN)",Y,Respiratory and Blood,140,Co-infection,8,,Yes,,,2,,,,,1,2,,,,2,,,,,,,,,,,"Resp on admission = E coli (1), MSSA (1), K oxytoca (1)
Resp follow up = 23 enterobacterales cases: Enterobacter cloacae (1), S marcescens (4), Proteus spp (3), E coli (6), Morganella morganii (1), Citrobacter spp (3), Klebsiella spp (11)

Blood = E coli (2), MSSA (1), S epidermidis (2)
Blood follow up (10 because I excluded C albicans) = Klebsiella spp (3), Pseudomonas aeruginosa (1), E epidermidis (5), E faecium (3; 2 were VRE), MSSA (1)",,,116,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,No or unclear,Yes,No or unclear,7,moderate,Yes,,
07/05/2021 17:02,"Sharov KS, 2020",JoGH,21237,02/03/2020,05/05/2020,Russia,Asia,Retrospective Cohort,Hospital/Outpatients,1351,,,age not reported,,All combined,,,,,,,,specified,culture,"Bacterial aetiological agents were revealed in sputum samples by cultural (inoculation) techniques with a following biochemical identification
and biochemical tests and/or antigen detection in blood and/or urine samples.",Y,Respiratory and Blood,1351,Secondary Infection,,494,Yes,41,38,110,143,0,99,0,12,51,,,,,,,,,,,,,,,0,,,,No or unclear,No or unclear,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,7,moderate,Yes,,
24/05/2021 18:01,"DiDomenico S, 2020",Internal and Emergency Medicine,21593,29/02/2020,19/03/2020,Italy,Europe,Retrospective Cohort,Hospital/Outpatients,310,,64,Median,110,All combined,,49,49,11,42,50,53,unspecified,unspecified,,N,Unclear,310,Secondary Infection,,8,Yes,,,1,,,,,,,,,,,,,,,,1,,,,,Legionella pneumonia (1),68,58,,Yes,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,4,high,Yes,,
24/05/2021 20:10,"Zhao K, 2020",Eur J Clin Microbiol Infect Dis,21627,03/02/2020,03/03/2020,China,Asia,Retrospective Cohort,Hospital,619,,58.2,Mean/Average,310,All combined,83,83,91,180,30,45,85,specified,culture,". Secondary infection was
diagnosed according to Center for Disease Control (CDC)
definitions for nosocomial infections in 1988",Y,Unclear,619,Secondary Infection,,35,No,,,,,,,,,,,,,,,,,,,,,,,,,219,,441,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,Yes,9,low,Yes,,Immunoglobulins (113)
21/05/2021 23:34,"Cobb NL, 2021",Ann Am Thorac Soc,21698,01/01/2019,15/04/2020,United States,North America,Retrospective Cohort,Hospital ICU,65,,60.4,Mean/Average,19,Critical,34,39,65,14,1,,26,specified,culture,"Positive sputum culture results
were defined by bacterial growth in qualified
sputum, excluding normal oropharyngeal
flora. Positive blood culture results excluded
common contaminants such as coagulasenegative Staphylococcus and S. hominis. The
sputum and blood cultures were defined as
early if they were collected within the first 2 days of admission to the study hospital",Y,Respiratory and Blood,65,Secondary Infection,7,24,Yes,,,6,1,0,,2,5,,,2,1,,1,,,,,,,,,,"Citrobacter koseri (1); Enterobacter Cloacae (2), E faecalis (1), Early: Staph aur =4, Spn=2, Kleb =2",13,24,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,Y = COI = 7,Sarilumab - 2 patients - included in toci
22/05/2021 15:30,"Wang L, 2021",J Antimicrob Chemother,21703,01/03/2020,30/04/2020,United Kingdom,Europe,Retrospective Cohort,Hospital,1396,,67.4,Mean/Average,493,All combined,,,226,,92,,511,specified,culture,"These specimens included blood, lower respiratory tract,
urine and other specimens for microscopy, culture and antimicrobial
susceptibility testing. All specimens were processed using laboratory standard operation methods based on the UK Standards for Microbiology
Investigations.13 In addition, results of urinary antigen tests for Legionella
and pneumococcus were also reviewed.",Y,Respiratory and Blood,969,Co-infection,23,,Yes,,,6,3,,1,2,2,3,,,,,,,,,,,4,,,,"Proteus (4), 3 UAT strep",,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,9,low,Yes,,
12/06/2021 11:35,"Morrison AR, 2020",Journal of Autoimmunity,21875,01/03/2020,30/04/2020,United States,North America,Retrospective Cohort,Hospital,81,treated with tocilizumab,64,Median,25,All combined,,70,74,,4,15,37,unspecified,unspecified,"Infection after
tocilizumab was defined as a positive microbiologic assay that
prompted antimicrobials for the identified pathogen.",Y,Respiratory and Blood,81,Secondary Infection,,17,Yes,,,7,,,1,1,,2,,3,,,1,,,1,1,,,2,,,"
Enterobacter aerogenes 2 (2.5) 
Aeromonas salmonicida 1 (1.2) 
Citrobacter koseri 1 (1.2) 
Enterobacter cloacae 1 (1.2) 
Raoultella ornithinolytica 1 (1.2) 
Serratia marcescens 1 (1.2) 
Streptococcus pasteurianus 1 (1.2)
",57,81,58,Yes,Yes,Yes,No or unclear,Yes,No or unclear,No or unclear,No or unclear,Yes,Yes,6,moderate,Yes,,
12/06/2021 12:31,"Moreno-Perez O, 2020",Journal of Autoimmunity,21946,22/03/2020,02/05/2020,Spain,Europe,Case Series of equal or more than 50 patients,Hospital,77,treated with tocilizumab,62,Median,27,Severe,,38,42,,11,6,16,unspecified,unspecified,,Y,Unclear,77,Secondary Infection,,11,No,,,,,,,,,,,,,,,,,,,,,,,,,,77,,Yes,Yes,Yes,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,No or unclear,3,high,Yes,,"""immunosuppression"" =4"
10/06/2021 22:45,"Bhatt P, 2020",Clinical Infectious Diseases,22360,01/03/2020,03/06/2020,United States,North America,case-control,Hospital,375,,64,Median,146,All combined,,33,179,,60,48,131,specified,culture,"Bloodstream infection was defined as bacterial or fungal in- fection identified on blood cultures. Blood cultures were per- formed using BACTEC FX (Beckton, Dickinson and Co., Franklin Lakes, NJ) Blood Culture Systems.",N,Blood,375,Secondary Infection,,117,Yes,,,18,2,1,,3,6,10,4,4,13,28,1,,2,1,9,,4,1,12,,"Abiotrophia/Granulicatella spp (2), Acinetobacter baumanii (4), Citrobacter koseri (1), Clostridium cadaveris (1), Clostridium ilnnocuum(1), Clostridium perfringes (1), Ckostrid spp (1), Eggerthella lenta (1), CNST (28), Corynebacterium jeikeium (1), Corynebacterium striatum (1), Enterobacter cloacae (4), Enterococcus faecalis (12), Gemella morbillorum (1), GBS (1), Group F Beta hemolytic streptococcus (1), Leuconostoc (1), Neisseria sicca (1), Propionibacterium spp (1), Proteus mirabilis (4), Serratia (1), Stenotrophomonas maltophilia (2), Streptococcus pyogenes (2), Viridans group streptococcus (5)",85,88,301,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No or unclear,9,low,Yes,,
24/05/2021 12:43,"Lui GC, 2020",Clin Infect Dis,22963,23/01/2020,14/04/2020,Hong Kong,Asia,Retrospective Cohort,Hospital,1013,,38.4,Mean/Average,467,All combined,,22,53,,,6,80,specified,culture,"Microbiological
workup, including sputum and blood bacterial culture, nasopharyngeal aspirate for respiratory viruses and atypical pathogens, and urine for Streptococcus pneumoniae and Legionella
antigen tests, were performed as appropriate",N,Respiratory and Blood,1013,Co-infection,19,,Yes,,,6,,,5,,1,,,,,2,,,,,,,,,,,S hominis (1); CNST (1),42,,372,Yes,Yes,Yes,Yes,Yes,No or unclear,Yes,Yes,Yes,Yes,9,low,Yes,,Immunoglobulin (2)
